,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1180053988,0,5,1,-37.8002124,144.9258168,-37.804566,144.9774159,5035.0,2018-01-01,15:03:37,1300.7400000000002,15:25:17,10.73
ID3228485149,1,3,2,-37.8200291,144.968851,-37.8197216,144.9514715,1883.0,2018-03-16,02:50:36,480.3000000000001,2:58:36,17.01
ID1415900887,0,5,5,-37.8031378,145.0045622,-37.8048626,144.9244347,7810.0,2018-04-05,04:30:13,2014.2599999999993,5:03:47,16.04
ID1198444772,0,5,2,-37.8163702,144.9286073,-37.8225705,144.9526419,3770.0,2018-07-22,05:00:14,930.9000000000001,5:15:44,16.45
ID3393551899,1,6,2,-37.7874325,144.9803767,-37.8201966,144.9462139,5659.0,2018-02-23,10:16:40,1364.4600000000007,10:39:24,13.34
ID1433660404,0,8,2,-37.8120882,144.9523337,-37.8136961,144.9461109,1009.0,2018-04-16,20:08:37,225.18000000000004,20:12:22,9.38
ID1514027289,0,8,1,-37.8158343,145.04645,-37.8117253,144.9453555,9345.0,2018-04-13,22:22:23,2618.400000000002,23:06:01,17.53
ID1219662704,0,8,1,-37.807202,145.0266373,-37.8094403,144.9491969,7570.0,2018-02-14,19:49:00,1921.799999999999,20:21:01,11.46
ID3321512821,1,3,2,-37.8166784,144.9876868,-37.8149505,144.9377017,5076.0,2018-01-17,01:14:59,1205.9400000000003,1:35:04,20.6
ID1635143716,0,6,5,-37.7874325,144.9803767,-37.8052151,144.9372108,5736.0,2018-05-13,16:51:49,1555.5599999999997,17:17:44,12.76
ID5155452060,2,1,3,-37.8171876,144.9675661,-37.8230514,144.9889068,2242.0,2018-01-20,19:37:56,546.96,19:47:02,61.83
ID3334053775,1,9,1,-38.1109156,144.6541725,-37.8021474,144.9379185,43943.0,2018-07-21,21:06:05,10541.279999999997,0:01:46,69.75
ID3591799373,1,1,6,-37.8189215,144.9548983,-37.7874421,144.9804091,4809.0,2018-01-14,08:25:27,1297.68,8:47:04,16.97
ID1847482415,0,7,8,-37.8618349,144.905716,-37.8145258,145.0155108,13066.0,2018-06-14,14:21:11,3904.1999999999994,15:26:15,15.11
ID1473290950,0,1,3,-37.8081019,144.973149,-37.8233242,144.9674463,2194.0,2018-07-21,11:56:19,628.3799999999998,12:06:47,8.58
ID3235865173,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-02-11,07:06:48,4917.479999999999,8:28:45,33.8
ID5887546327,2,6,4,-37.7907967,144.985865,-37.802923,145.0055239,3320.0,2018-06-01,18:05:53,886.6800000000004,18:20:39,74.47
ID1923574662,0,3,4,-37.8247008,144.988456,-37.8055175,144.9979872,2735.0,2018-06-25,18:47:41,665.7600000000002,18:58:46,8.59
ID5222522236,2,2,4,-37.8132543,144.9386874,-37.8113359,145.0084965,6967.0,2018-06-27,05:26:30,1774.98,5:56:04,139.93
ID5276210209,2,2,1,-37.8207552,144.9480634,-37.7738026,144.9836466,9760.0,2018-03-20,11:04:55,2953.9800000000005,11:54:08,196.81
ID3655447688,1,2,3,-37.8227836,144.9357523,-37.8236457,144.9750312,3983.0,2018-01-02,18:28:29,1063.6200000000001,18:46:12,13.69
ID1278166265,0,9,4,-38.1109156,144.6541725,-37.8093137,144.9339968,42999.0,2018-05-04,00:09:34,10311.839999999995,3:01:25,28.46
ID3674782315,1,8,7,-37.8158343,145.04645,-37.8246631,144.9466253,9610.0,2018-07-19,02:30:31,2795.8799999999987,3:17:06,26.67
ID1130822260,0,2,4,-37.8243813,144.9443662,-37.8174439,145.0048331,5908.0,2018-07-23,19:37:50,1455.8400000000008,20:02:05,10.6
ID3330580498,1,3,8,-37.8246072,144.9887165,-37.8158343,145.04645,6416.0,2018-02-19,01:22:27,1885.5,1:53:52,23.33
ID3786174517,1,4,7,37.79602,145.0010543,-37.8618349,144.905716,12511.0,2018-06-02,19:40:49,4059.300000000001,20:48:28,32.17
ID1439041032,0,2,5,37.8224083,144.9475061,-37.8051953,144.9331841,2626.0,2018-01-26,10:44:42,683.4600000000002,10:56:05,5.94
ID3744717624,1,8,2,-37.807202,145.0266373,-37.812917,144.9392148,8529.0,2018-01-05,18:46:42,2164.379999999999,19:22:46,20.82
ID1513157345,0,5,9,-37.7988356,144.9358024,-38.1109156,144.6541725,44115.0,2018-03-15,16:39:34,10504.259999999998,19:34:38,25.99
ID3538830832,1,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-03-21,16:50:01,4911.599999999998,18:11:52,33.63
ID1521404067,0,6,2,37.7738026,144.9836466,-37.8207512,144.9485816,9722.0,2018-03-16,02:54:02,2968.3799999999983,3:43:30,16.62
ID3301291083,1,8,2,37.8158343,145.04645,-37.8209083,144.9423016,9807.0,2018-04-19,15:03:32,2805.3,15:50:17,25.05
ID1184330631,0,2,4,-37.812409,144.9369316,-37.8111528,144.9975025,5980.0,2018-05-20,18:29:38,1551.36,18:55:29,16.68
ID1213766646,0,9,7,38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-07,02:33:06,13204.979999999994,6:13:10,33.41
ID1611794819,0,2,1,-37.8192538,144.9422159,-37.8156084,144.9357637,1625.0,2018-04-15,05:51:36,409.14000000000004,5:58:25,15.82
ID5981483603,2,1,9,-37.8155025,144.9666156,-38.1109156,144.6541725,43653.0,2018-04-09,18:47:22,10463.64,21:41:45,676.09
ID3367145819,1,4,5,-37.8119708,145.0152746,-37.8029724,144.9291375,8288.0,2018-02-16,14:34:06,2102.6400000000003,15:09:08,19.9
ID3920253300,1,5,8,-37.7998329,144.93173,-37.8158343,145.04645,10536.0,2018-06-19,14:55:17,2916.1800000000003,15:43:53,24.65
ID1954821589,0,7,5,-37.8618349,144.905716,37.7993535,144.9277558,11987.0,2018-04-18,13:15:02,3805.3199999999993,14:18:27,14.0
ID1123747220,0,6,2,-37.7907967,144.985865,-37.8140346,144.9470579,5272.0,2018-02-21,06:10:02,1447.26,6:34:09,8.41
ID5442192128,2,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-08,17:26:20,13204.979999999994,21:06:24,847.67
ID3228397008,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-27,22:23:15,13204.979999999994,2:03:19,77.89
ID3270251649,1,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-05-14,16:15:44,5320.6799999999985,17:44:24,35.22
ID3260216240,1,9,5,-38.1109156,144.6541725,-37.8062236,144.9323687,43578.0,2018-02-18,16:10:49,10438.259999999995,19:04:47,62.91
ID5583451419,2,2,1,-37.8192711,144.9423758,37.8241184,144.9534812,1374.0,2018-02-02,15:34:15,386.34,15:40:41,44.99
ID1818988591,0,3,9,-37.8245586,144.9848092,38.1109156,144.6541725,45617.0,2018-05-23,06:10:16,11020.74,9:13:56,20.29
ID5408754744,2,8,2,-37.807202,145.0266373,37.8221675,144.9477922,8126.0,2018-01-01,22:08:40,2059.0200000000004,22:42:59,158.57
ID5589358489,2,2,9,-37.821006,144.9442801,-38.1109156,144.6541725,41534.0,2018-04-09,11:11:07,9985.32,13:57:32,635.33
ID1962886048,0,8,4,-37.807202,145.0266373,-37.8168831,145.0073361,2853.0,2018-02-06,04:54:40,680.1600000000002,5:06:00,13.29
ID3725659171,1,2,6,-37.8166976,144.9319125,-37.7738026,144.9836466,9395.0,2018-07-02,16:20:22,2702.22,17:05:24,21.64
ID5507404910,2,4,8,-37.8108545,144.9995943,-37.8158343,145.04645,4211.0,2018-07-09,13:31:35,1342.2,13:53:57,102.81
ID1116432066,0,9,7,-38.1109156,144.6541725,37.8618349,144.905716,50797.0,2018-01-15,10:59:04,13204.979999999994,14:39:08,23.29
ID1404832474,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-13,23:08:48,12681.060000000005,2:40:09,31.65
ID1312431570,0,3,5,-37.8135886,144.9751268,-37.8068662,144.9387806,3956.0,2018-05-16,11:55:27,919.6799999999998,12:10:46,4.54
ID3387262181,1,4,6,-37.8122303,145.0159644,-37.7908183,144.9857929,4763.0,2018-06-16,08:38:29,1208.7000000000003,8:58:37,14.55
ID3758167834,1,6,3,-37.7874325,144.9803767,-37.8257254,144.9828503,4832.0,2018-03-15,13:29:12,1259.1000000000006,13:50:11,15.49
ID1474146727,0,6,4,-37.7874325,144.9803767,-37.8149753,145.0045748,5134.0,2018-06-07,09:14:32,1419.5999999999997,9:36:41,5.94
ID3924804975,1,2,7,-37.8135331,144.9373574,-37.8618349,144.905716,10526.0,2018-07-19,07:58:10,3428.5200000000004,8:55:18,19.91
ID1251525244,0,8,3,-37.8158343,145.04645,-37.8121065,144.9738372,6767.0,2018-01-01,16:40:08,1998.0000000000007,17:13:26,11.57
ID3857733068,1,3,1,-37.832819,144.9905243,-37.8147188,144.9635344,3435.0,2018-06-11,08:25:34,878.0400000000001,8:40:12,9.16
ID1982339413,0,7,3,-37.8618349,144.905716,-37.8155823,144.9867456,9588.0,2018-04-19,16:34:30,3205.1399999999985,17:27:55,13.82
ID1830116643,0,6,3,-37.7874421,144.9804091,-37.811785,144.9887435,3589.0,2018-06-17,16:58:49,884.8800000000002,17:13:33,15.7
ID1232573333,0,1,8,-37.8058221,144.9333802,-37.8158343,145.04645,10259.0,2018-05-06,15:54:25,2880.88,16:42:42,15.79
ID1253378455,0,4,6,-37.8066702,144.9979316,-37.7738026,144.9836466,9095.0,2018-06-26,05:02:31,2820.1800000000003,5:49:31,17.82
ID3223647847,1,5,2,-37.8037739,144.9188476,-37.8251276,144.924378,5694.0,2018-03-13,16:13:14,1501.4799999999996,16:37:41,17.88
ID3267112815,1,1,7,-37.8021655,144.9645182,-37.8618349,144.905716,9597.0,2018-04-11,14:15:59,3188.9400000000005,15:09:07,25.97
ID1956210357,0,5,6,-37.8149735,144.927519,-37.7738026,144.9836466,10790.0,2018-01-23,13:59:52,3103.04,14:50:45,13.49
ID5988786346,2,5,1,-37.8113128,144.9299071,-37.819554,144.9632428,4490.0,2018-05-09,06:33:01,1167.9600000000005,6:52:28,83.68
ID3432021397,1,7,2,-37.8618349,144.905716,-37.8213996,144.9357672,9951.0,2018-07-11,20:55:30,3378.0599999999995,21:51:48,24.18
ID1282052140,0,3,8,-37.8137444,144.9876194,-37.807202,145.0266373,4404.0,2018-01-20,13:26:59,1044.7800000000004,13:44:23,12.97
ID3408790312,1,4,5,-37.8106446,145.0106568,-37.7915638,144.9317598,10347.0,2018-07-17,21:38:55,2509.0800000000013,22:20:44,25.73
ID3607549452,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-07-15,13:03:28,13204.979999999994,16:43:32,76.62
ID5687601140,2,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-04-12,11:34:06,2437.38,12:14:43,162.26
ID1587564022,0,7,1,-37.8618349,144.905716,-37.8054421,144.9650891,9264.0,2018-06-02,09:10:45,3122.3799999999987,10:02:07,13.69
ID5553206533,2,9,3,-38.1109156,144.6541725,-37.8240744,144.9887577,45916.0,2018-05-12,20:01:44,11129.340000000007,23:07:13,727.38
ID3120101653,1,3,9,-37.8209806,145.0004038,-38.1109156,144.6541725,46894.0,2018-05-27,06:01:19,11249.7,9:08:48,64.72
ID1859442747,0,7,3,-37.8618349,144.905716,-37.8095508,144.9864633,9827.0,2018-03-28,16:37:35,3342.759999999998,17:32:40,13.3
ID1736991981,0,2,1,-37.8094262,144.9288648,-37.8119871,144.9637311,3544.0,2018-02-01,14:59:57,906.7200000000001,15:15:03,9.23
ID1782402424,0,2,7,-37.8151688,144.9450977,-37.8618349,144.905716,9553.0,2018-04-11,12:23:02,3191.82,13:16:13,12.13
ID5937793044,2,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-03-06,09:48:43,13204.979999999994,13:28:47,839.75
ID3333331545,1,9,2,-38.1109156,144.6541725,-37.8115492,144.9362069,43230.0,2018-07-28,02:05:20,10362.899999999998,4:58:02,68.95
ID1416834336,0,1,4,-37.8088627,144.971177,-37.8118953,145.0034273,3021.0,2018-02-12,12:24:08,754.5999999999998,12:36:38,9.29
ID1251964985,0,7,1,-37.8618349,144.905716,-37.8155331,144.9665099,7960.0,2018-05-07,09:32:40,2768.3999999999996,10:18:48,10.84
ID3435025467,1,6,4,-37.7907967,144.985865,-37.8029586,145.0087472,3189.0,2018-01-02,02:08:14,933.4200000000003,2:23:44,18.16
ID1827419717,0,6,3,-37.773845,144.9836895,-37.817924,144.9933848,6667.0,2018-01-04,11:02:16,1471.9799999999998,11:26:32,6.61
ID1570735331,0,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-07-28,21:57:02,2468.38,22:37:39,18.73
ID1315674517,0,6,5,-37.7874325,144.9803767,-37.8029407,144.9307492,6240.0,2018-05-11,03:24:54,1611.7200000000003,3:51:45,14.55
ID3609972222,1,3,7,-37.8207972,144.9942398,-37.8618349,144.905716,10019.0,2018-07-19,21:45:08,3192.6000000000004,22:38:20,29.71
ID1806543184,0,4,2,-37.8023682,144.9915927,-37.8190391,144.9467214,5383.0,2018-02-10,10:35:34,1324.3200000000002,10:57:38,10.72
ID1616912025,0,2,5,-37.8158663,144.9216363,-37.8129005,144.9298785,1157.0,2018-04-06,17:16:32,267.84000000000003,17:20:59,10.16
ID1421433690,0,3,2,-37.8162232,144.9949785,-37.8189705,144.9465947,4793.0,2018-05-16,04:02:17,1231.5599999999997,4:22:48,15.28
ID3409690064,1,5,4,-37.8031529,144.9367305,-37.8142662,145.0110929,7526.0,2018-06-10,13:38:36,1900.8599999999997,14:10:16,22.75
ID3609786708,1,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-06-16,02:48:04,5320.6799999999985,4:16:44,44.43
ID3204711615,1,2,6,-37.8122993,144.9373433,-37.7874325,144.9803767,6159.0,2018-01-03,13:15:24,1572.9600000000005,13:41:36,18.07
ID3294383301,1,7,4,-37.8618349,144.905716,-37.8159705,145.005857,11357.0,2018-06-07,05:37:14,3615.66,6:37:29,30.52
ID1461898476,0,4,7,-37.8117797,144.9988291,-37.8618349,144.905716,10821.0,2018-01-13,04:46:50,3531.36,5:45:41,21.73
ID5885469128,2,1,2,-37.8131314,144.9358897,-37.817994,144.9317665,1214.0,2018-03-08,13:46:41,292.79999999999995,13:51:33,40.01
ID5240676996,2,5,8,-37.8132861,144.9334399,-37.807202,145.0266373,9908.0,2018-07-11,20:16:06,2547.12,1:11:05,180.68
ID3933467820,1,1,8,-37.799949,144.9588616,-37.807202,145.0266373,6490.0,2018-07-12,19:43:22,1710.7200000000007,20:11:52,17.84
ID5889297553,2,5,6,-37.8065701,144.9309837,-37.7874421,144.9804091,6404.0,2018-06-23,08:58:45,1705.740000000001,9:27:10,125.02
ID1201503034,0,4,2,-37.814424,145.0149411,-37.8252718,144.9532437,7282.0,2018-01-06,08:59:14,1743.1800000000005,14:18:36,9.89
ID1920317349,0,1,8,-37.8116985,144.9528899,-37.8158343,145.04645,8490.0,2018-03-28,21:25:29,2412.4800000000005,22:05:41,16.88
ID3759906543,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-01-18,03:16:24,12681.060000000005,6:47:45,75.41
ID1970763934,0,8,3,-37.807202,145.0266373,-37.8175358,144.9683719,6628.0,2018-07-17,16:44:38,1652.8200000000008,17:12:10,9.57
ID3420897492,1,6,5,-37.7738026,144.9836466,-37.8052525,144.9260628,10777.0,2018-04-23,00:50:18,3260.88,1:44:38,31.71
ID3938836915,1,5,8,-37.8129112,144.933698,-37.8158343,145.04645,11226.0,2018-06-14,15:00:44,3125.94,15:52:49,25.22
ID3502122482,1,9,1,-38.1109156,144.6541725,-37.8040667,144.9668552,44516.0,2018-05-01,06:38:39,10760.76000000001,9:37:59,56.71
ID3321132184,1,9,3,-38.1109156,144.6541725,-37.822232,144.9828961,45370.0,2018-02-26,01:49:36,10856.639999999992,4:50:32,66.43
ID3742713909,1,8,2,-37.807202,145.0266373,-37.8119931,144.9384048,8608.0,2018-06-24,15:26:14,2170.8599999999988,19:55:07,24.46
ID3470768523,1,4,3,-37.8025594,145.0146631,-37.8251355,144.9920867,4744.0,2018-06-25,22:39:28,1283.9999999999995,23:00:52,20.66
ID1513602548,0,6,1,-37.7738026,144.9836466,-37.799913,144.9515033,7933.0,2018-07-07,03:21:16,2529.3599999999997,4:03:25,19.28
ID1480724356,0,4,6,-37.8012929,144.9968149,-37.7874325,144.9803767,3112.0,2018-07-24,00:09:13,756.8400000000001,0:21:49,12.6
ID1298831765,0,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633.0,2018-04-25,01:42:37,3663.780000000001,2:43:40,17.99
ID3961367478,1,4,6,-37.8009869,144.9983367,-37.7874421,144.9804091,3213.0,2018-03-01,12:31:22,807.5400000000001,12:44:49,13.6
ID1813574977,0,8,2,-37.807202,145.0266373,-37.8201602,144.9508446,7854.0,2018-01-16,16:53:28,1986.4799999999998,17:58:02,11.31
ID3832482648,1,1,5,-37.8095937,144.9361062,-37.8041355,144.9177199,2204.0,2018-01-18,01:30:17,621.7800000000001,1:40:38,17.73
ID3685229709,1,9,1,-38.1109156,144.6541725,-37.8137654,144.9480673,43282.0,2018-07-19,00:53:02,10368.720000000001,3:45:50,64.63
ID1514112938,0,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-03-19,13:35:25,12069.779999999999,16:23:19,26.7
ID3950371850,1,2,1,-37.820783,144.9486473,-37.8151021,144.9450213,772.0,2018-01-20,08:33:17,185.76,10:46:26,8.8
ID1443747376,0,3,8,-37.8139643,144.9713412,-37.8158343,145.04645,7077.0,2018-03-28,21:25:53,2070.36,22:00:23,15.3
ID5643200438,2,5,8,-37.8051492,144.9294548,-37.807202,145.0266373,9345.0,2018-03-13,06:44:45,2439.8999999999996,7:25:24,161.97
ID5491554416,2,7,3,-37.8618349,144.905716,-37.8114087,144.9749462,8854.0,2018-05-09,18:40:32,2963.279999999999,19:29:55,205.89
ID1833414544,0,1,5,-37.8120683,144.9383555,-37.8126695,144.9315696,1632.0,2018-01-23,14:48:07,467.16,19:03:13,8.57
ID5530355440,2,4,3,-37.8162029,145.0102235,-37.8237834,144.9976793,1846.0,2018-06-11,01:03:17,473.28,1:11:10,57.41
ID3375938233,1,3,6,-37.8219199,144.9725456,-37.773845,144.9836895,6174.0,2018-04-18,11:39:17,1377.2400000000002,12:02:14,12.33
ID1507318338,0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-06-15,05:23:47,5320.6799999999985,6:30:19,20.93
ID1842956207,0,4,6,-37.8037236,145.010641,-37.7738026,144.9836466,10215.0,2018-05-03,05:48:00,3130.4400000000005,10:03:58,17.04
ID3295877881,1,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-03-15,12:04:41,11407.859999999999,15:14:48,64.14
ID3271727515,1,6,4,-37.773845,144.9836895,-37.8076743,144.9919535,5636.0,2018-02-17,17:11:47,1230.4200000000005,17:32:17,18.11
ID3552449076,1,8,5,-37.8158343,145.04645,-37.8133487,144.9312518,11271.0,2018-06-19,02:40:18,3157.9199999999983,4:49:43,32.16
ID3439436552,1,4,1,-37.810568,145.0159907,-37.8087831,144.9612867,5554.0,2018-03-16,09:59:59,1369.9800000000005,10:22:48,10.56
ID3952255353,1,4,6,-37.8033005,144.9895772,-37.773845,144.9836895,5198.0,2018-06-11,04:29:30,1058.8200000000002,4:47:08,19.54
ID1200107819,3,4,9,-37.7973366,145.0107,-38.1109156,144.6541725,48804.0,2018-02-02,07:04:42,11917.019999999999,10:23:19,22.26
ID1621216302,3,8,2,-37.8158343,145.04645,-37.8154797,144.9327496,10899.0,2018-02-24,21:19:26,3043.019999999999,22:10:09,21.59
ID3559216128,1,1,2,-37.8055089,144.9431064,-37.8198915,144.9469715,1923.0,2018-04-24,17:41:27,471.78000000000003,17:49:18,11.89
ID1878834291,0,5,8,-37.8047461,144.9285066,-37.8158343,145.04645,10764.0,2018-02-26,08:05:25,2996.6400000000003,8:55:21,9.99
ID3589731206,1,4,8,-37.8002282,145.0103085,-37.807202,145.0266373,1803.0,2018-02-14,02:13:53,456.84000000000003,2:21:29,15.72
ID3670594292,1,7,3,-37.8618349,144.905716,-37.8107586,144.9771086,9114.0,2018-04-03,10:46:28,3018.179999999999,11:36:46,20.08
ID5477365178,1,7,4,-37.8618349,144.905716,-37.7995181,145.009185,12791.0,2018-01-17,14:13:11,4089.179999999998,15:21:20,278.07
ID1703892507,1,5,6,-37.7943924,144.9349072,-37.773845,144.9836895,8561.0,2018-07-23,23:47:10,1874.04,0:18:24,15.41
ID3449437962,1,3,4,-37.8188443,145.0068388,-37.8022962,145.012452,2117.0,2018-06-15,18:23:46,517.3199999999999,18:32:23,12.2
ID1774686098,0,8,3,-37.8158343,145.04645,-37.8246995,144.9847078,6844.0,2018-06-03,22:57:14,2011.6199999999997,23:30:45,18.96
ID5568752635,2,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-02-16,02:29:54,4911.599999999998,3:51:45,337.4
ID3530619972,1,3,6,-37.8269132,144.9895501,-37.7907967,144.985865,4496.0,2018-05-28,22:19:30,1253.76,22:40:23,19.99
ID5513651272,2,1,6,-37.8207129,144.9568024,-37.7738026,144.9836466,9282.0,2018-03-09,12:29:47,2860.1400000000003,13:17:27,198.93
ID1607000187,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-05,00:29:26,4917.479999999999,1:51:23,20.91
ID3780449778,3,4,9,-37.8040814,145.0089806,-38.1109156,144.6541725,48071.0,2018-03-09,22:49:25,11647.5,2:03:32,71.06
ID3266426452,1,9,6,-38.1109156,144.6541725,-37.7908183,144.9857929,47186.0,2018-03-26,11:08:57,11423.220000000008,14:19:20,61.0
ID1917640661,0,6,3,-37.773845,144.9836895,-37.8175669,144.9704771,5846.0,2018-05-21,18:53:03,1327.8600000000001,18:30:56,12.77
ID3318090991,1,5,6,-37.8067216,144.9321165,-37.7908183,144.9857929,6483.0,2018-02-05,02:53:08,1725.6000000000006,3:21:53,21.57
ID3776803401,1,3,5,-37.8134036,144.9740726,-37.7917738,144.9359401,7265.0,2018-03-07,14:34:34,1823.82,14:04:11,17.89
ID3128191028,1,5,6,-37.8059974,144.9295055,-37.7874325,144.9803767,6972.0,2018-06-05,19:28:41,1840.7400000000005,18:58:01,19.22
ID3398158814,1,5,8,-37.8091367,144.9372571,-37.807202,145.0266373,8931.0,2018-05-28,17:47:53,2230.14,17:10:43,17.68
ID1270002475,0,5,8,-37.8048107,144.9281335,-37.8158343,145.04645,10692.0,2018-03-18,20:38:27,2986.92,19:48:41,17.68
ID3421123733,1,4,9,-37.8096605,144.9923455,-38.1109156,144.6541725,46237.0,2018-07-08,12:54:50,11130.3,16:00:20,67.52
ID5482581126,2,5,2,-37.8049604,144.9315487,-37.8128773,144.9372702,2125.0,2018-06-15,22:37:55,523.6800000000001,22:46:38,61.64
ID3957524210,1,8,1,-37.8158343,145.04645,-37.8011673,144.968491,7598.0,2018-01-26,9:13:46,2223.840000000001,08:36:43,17.25
ID3157226837,1,7,1,-37.8618349,144.905716,-37.8012758,144.9637503,9611.0,2018-05-07,13:22:35,3152.939999999996,14:15:07,26.5
ID1884236768,0,4,1,-37.8124304,145.0158665,-37.8191541,144.9541094,7635.0,2018-05-01,06:32:46,1846.260000000001,7:03:32,5.23
ID3557106178,1,6,3,-37.7874421,144.9804091,-37.8098985,144.978232,2661.0,2018-05-16,23:53:21,685.56,23:41:56,15.36
ID1645763274,0,1,4,-37.8117481,144.9565163,-37.813257,145.0048305,4591.0,2018-05-08,22:25:26,1111.5600000000002,22:06:55,15.22
ID5526824761,2,8,5,-37.8158343,145.04645,-37.8022187,144.9308002,10716.0,2018-06-21,13:37:28,3017.9399999999982,14:27:45,210.86
ID3407832836,1,1,8,-37.8211718,144.9553904,-37.807202,145.0266373,7414.0,2018-07-13,3:46:38,1828.5600000000006,03:16:10,23.57
ID1860280510,0,3,9,-37.821333,144.9834794,-38.1109156,144.6541725,45417.0,2018-03-14,0:44:33,10956.359999999999,21:41:57,28.54
ID3497326839,1,6,3,-37.773845,144.9836895,-37.8140369,144.9854805,5768.0,2018-03-09,03:43:15,1233.6599999999999,4:03:48,22.12
ID3894275806,1,9,3,-38.1109156,144.6541725,-37.8204739,144.9791163,45087.0,2018-07-21,12:16:51,10845.839999999998,15:17:36,68.57
ID3214347899,1,5,7,-37.8054867,144.9351555,-37.8618349,144.905716,10765.0,2018-06-06,23:20:53,3494.0400000000004,0:19:07,32.31
ID1688638946,0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-07-24,03:17:38,2302.3800000000006,3:56:00,16.45
ID5814324550,2,6,5,-37.773845,144.9836895,-37.8044469,144.9166318,8673.0,2018-06-25,13:00:20,2114.6399999999994,13:35:34,152.65
